id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100022840964;Кружка Luminarc Disney Mickey Colors 250 мл;858;Bezant;858;214;25%;Bezant;858;214;25%;MrDom;1204;301;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023362041;"Швабра Vileda ""ultramax"" 140 см";1611;GradMart;1611;322;20%;GradMart;1611;322;20%;kims;1759;351;0,2;greenmu;1680;336;0,2;Сельский Бутик;2010;402;0,2;ecohomeway;1980;396;0,2;;;;;;;;;;;;;;;;
100002569394;Сменная насадка для швабры Vileda 134301;756;kims;835;167;20%;kims;835;167;20%;ПРО-Уют;699;139;0,2;greenmu;756;151;0,2;ecohomeway;892;178;0,2;productorg;1014;202;0,2;;;;;;;;;;;;;;;;
100024227705;"Набор для уборки ""Turbo Smart""";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024140523;"Комод 4-х секционный декор 40*47*94 см, ""Элегант темный"" (модель 0352/72 ""Элегант темный"")";2499;Bezant;2499;174;7%;Bezant;2499;174;7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024032884;Комод VIOLET 4-х секц, с декором Кукла;2394;Bezant;2388;167;7%;Bezant;2388;167;7%;ПОСУДАРСТВО.РУ;2394;167;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024032994;Наборы для уборки violet 18 л;1538;Bezant;1538;307;20%;Bezant;1538;307;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100002569324;Ведро Vileda 7123722;813;GradMart;781;156;20%;GradMart;781;156;20%;greenmu;813;162;0,2;kims;930;186;0,2;ПРО-Уют;849;169;0,2;ecohomeway;959;191;0,2;;;;;;;;;;;;;;;;
600000115171;Швабра Vileda Ультрамат;2700;AUTSTOK;2700;540;20%;AUTSTOK;2700;540;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023362042;Щетка для пола Vileda Qeek&Clean 153035;5088;greenmu;5088;1017;20%;greenmu;5088;1017;20%;ecohomeway;5999;1199;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100000024536;Гладильная доска напольная Vileda Viva Exspress Premium+;6101;GradMart;6101;915;15%;GradMart;6101;915;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028749;Сковорода ILLA Gourmet GC5220 20x5 см;1138;Bezant;1138;170;15%;Bezant;1138;170;15%;ItalPosuda;1690;253;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028743;Сковорода ILLA OLIVILLA OL6320 20x5 см;1499;Bezant;1499;224;15%;Bezant;1499;224;15%;ItalPosuda;1790;268;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028775;Кастрюля для запекания Pyrex;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838463;Этажерка SIJ Новый год NC17068;788;Bezant;788;197;25%;Bezant;788;197;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028772;Сковорода-вок Pyrex Expert Touch ET28BWX/6146 28x8 см;2299;Bezant;2299;344;15%;Bezant;2299;344;15%;ItalPosuda;2450;367;0,15;AUTSTOK;2590;388;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024028746;Сковорода ILLA MY CHEF MC6320 20x5 см;1499;Bezant;1499;224;15%;Bezant;1499;224;15%;ItalPosuda;1950;292;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
